tag,dag,run_id,task_id,duration_s,start_date,end_date
V1_rep1,dag_ingestao_bronze,perf_V1_rep1_dag_ingestao_bronze_1784639284,ingerir_json_para_iceberg_bronze,4.985098,2026-07-21T13:08:22.870520+00:00,2026-07-21T13:08:27.855618+00:00
V1_rep1,dag_ingestao_bronze,perf_V1_rep1_dag_ingestao_bronze_1784639284,verificar_bucket_landing,0.36041,2026-07-21T13:08:21.820118+00:00,2026-07-21T13:08:22.180528+00:00
V1_rep1,dag_silver_transform,perf_V1_rep1_dag_silver_transform_1784639312,silver_paf,10.647468,2026-07-21T13:10:59.210845+00:00,2026-07-21T13:11:09.858313+00:00
V1_rep1,dag_silver_transform,perf_V1_rep1_dag_silver_transform_1784639312,silver_relt_intel,10.590441,2026-07-21T13:11:10.190932+00:00,2026-07-21T13:11:20.781373+00:00
V1_rep1,dag_silver_transform,perf_V1_rep1_dag_silver_transform_1784639312,silver_pessoal,10.531877,2026-07-21T13:10:14.676879+00:00,2026-07-21T13:10:25.208756+00:00
V1_rep1,dag_silver_transform,perf_V1_rep1_dag_silver_transform_1784639312,silver_sensor,10.687911,2026-07-21T13:11:21.358008+00:00,2026-07-21T13:11:32.045919+00:00
V1_rep1,dag_silver_transform,perf_V1_rep1_dag_silver_transform_1784639312,silver_gps,10.674108,2026-07-21T13:11:32.495481+00:00,2026-07-21T13:11:43.169589+00:00
V1_rep1,dag_silver_transform,perf_V1_rep1_dag_silver_transform_1784639312,silver_material,10.586303,2026-07-21T13:10:25.842142+00:00,2026-07-21T13:10:36.428445+00:00
V1_rep1,dag_silver_transform,perf_V1_rep1_dag_silver_transform_1784639312,silver_seg_area,10.642336,2026-07-21T13:10:37.014884+00:00,2026-07-21T13:10:47.657220+00:00
V1_rep1,dag_silver_transform,perf_V1_rep1_dag_silver_transform_1784639312,silver_obstaculo,10.740026,2026-07-21T13:10:48.154197+00:00,2026-07-21T13:10:58.894223+00:00
V1_rep1,dag_gold_refresh,perf_V1_rep1_dag_gold_refresh_1784639508,gold_ppcot,15.696444,2026-07-21T13:13:17.302500+00:00,2026-07-21T13:13:32.998944+00:00
V1_rep1,dag_gold_refresh,perf_V1_rep1_dag_gold_refresh_1784639508,gold_coc,13.550412,2026-07-21T13:12:49.167494+00:00,2026-07-21T13:13:02.717906+00:00
V1_rep1,dag_gold_refresh,perf_V1_rep1_dag_gold_refresh_1784639508,gold_pitcic,13.051288,2026-07-21T13:13:03.196561+00:00,2026-07-21T13:13:16.247849+00:00
V1_rep1,dag_gold_refresh,perf_V1_rep1_dag_gold_refresh_1784639508,gold_avaliacao,12.658727,2026-07-21T13:13:33.504517+00:00,2026-07-21T13:13:46.163244+00:00
V1_rep2,dag_ingestao_bronze,perf_V1_rep2_dag_ingestao_bronze_1784639987,ingerir_json_para_iceberg_bronze,9.003565,2026-07-21T13:20:05.919514+00:00,2026-07-21T13:20:14.923079+00:00
V1_rep2,dag_ingestao_bronze,perf_V1_rep2_dag_ingestao_bronze_1784639987,verificar_bucket_landing,0.347225,2026-07-21T13:20:04.858975+00:00,2026-07-21T13:20:05.206200+00:00
V1_rep2,dag_silver_transform,perf_V1_rep2_dag_silver_transform_1784640022,silver_obstaculo,10.626931,2026-07-21T13:22:38.010290+00:00,2026-07-21T13:22:48.637221+00:00
V1_rep2,dag_silver_transform,perf_V1_rep2_dag_silver_transform_1784640022,silver_paf,10.613651,2026-07-21T13:22:49.426220+00:00,2026-07-21T13:23:00.039871+00:00
V1_rep2,dag_silver_transform,perf_V1_rep2_dag_silver_transform_1784640022,silver_pessoal,10.589269,2026-07-21T13:22:03.951587+00:00,2026-07-21T13:22:14.540856+00:00
V1_rep2,dag_silver_transform,perf_V1_rep2_dag_silver_transform_1784640022,silver_relt_intel,10.554914,2026-07-21T13:23:00.469759+00:00,2026-07-21T13:23:11.024673+00:00
V1_rep2,dag_silver_transform,perf_V1_rep2_dag_silver_transform_1784640022,silver_sensor,10.725047,2026-07-21T13:23:11.628830+00:00,2026-07-21T13:23:22.353877+00:00
V1_rep2,dag_silver_transform,perf_V1_rep2_dag_silver_transform_1784640022,silver_gps,10.847583,2026-07-21T13:23:23.349906+00:00,2026-07-21T13:23:34.197489+00:00
V1_rep2,dag_silver_transform,perf_V1_rep2_dag_silver_transform_1784640022,silver_material,10.565961,2026-07-21T13:22:15.105951+00:00,2026-07-21T13:22:25.671912+00:00
V1_rep2,dag_silver_transform,perf_V1_rep2_dag_silver_transform_1784640022,silver_seg_area,10.55762,2026-07-21T13:22:26.242985+00:00,2026-07-21T13:22:36.800605+00:00
V1_rep2,dag_gold_refresh,perf_V1_rep2_dag_gold_refresh_1784640217,gold_coc,13.128007,2026-07-21T13:24:39.384783+00:00,2026-07-21T13:24:52.512790+00:00
V1_rep2,dag_gold_refresh,perf_V1_rep2_dag_gold_refresh_1784640217,gold_pitcic,12.696369,2026-07-21T13:24:53.703347+00:00,2026-07-21T13:25:06.399716+00:00
V1_rep2,dag_gold_refresh,perf_V1_rep2_dag_gold_refresh_1784640217,gold_ppcot,15.198581,2026-07-21T13:25:07.338595+00:00,2026-07-21T13:25:22.537176+00:00
V1_rep2,dag_gold_refresh,perf_V1_rep2_dag_gold_refresh_1784640217,gold_avaliacao,13.354266,2026-07-21T13:25:23.810506+00:00,2026-07-21T13:25:37.164772+00:00
V1_rep3,dag_ingestao_bronze,perf_V1_rep3_dag_ingestao_bronze_1784640440,ingerir_json_para_iceberg_bronze,5.002337,2026-07-21T13:27:38.795639+00:00,2026-07-21T13:27:43.797976+00:00
V1_rep3,dag_ingestao_bronze,perf_V1_rep3_dag_ingestao_bronze_1784640440,verificar_bucket_landing,0.403629,2026-07-21T13:27:37.420084+00:00,2026-07-21T13:27:37.823713+00:00
V1_rep3,dag_silver_transform,perf_V1_rep3_dag_silver_transform_1784640469,silver_seg_area,11.205646,2026-07-21T13:29:56.350461+00:00,2026-07-21T13:30:07.556107+00:00
V1_rep3,dag_silver_transform,perf_V1_rep3_dag_silver_transform_1784640469,silver_obstaculo,10.614178,2026-07-21T13:30:07.864718+00:00,2026-07-21T13:30:18.478896+00:00
V1_rep3,dag_silver_transform,perf_V1_rep3_dag_silver_transform_1784640469,silver_pessoal,10.669819,2026-07-21T13:29:33.930234+00:00,2026-07-21T13:29:44.600053+00:00
V1_rep3,dag_silver_transform,perf_V1_rep3_dag_silver_transform_1784640469,silver_paf,10.564551,2026-07-21T13:30:19.603281+00:00,2026-07-21T13:30:30.167832+00:00
V1_rep3,dag_silver_transform,perf_V1_rep3_dag_silver_transform_1784640469,silver_relt_intel,10.629881,2026-07-21T13:30:30.798208+00:00,2026-07-21T13:30:41.428089+00:00
V1_rep3,dag_silver_transform,perf_V1_rep3_dag_silver_transform_1784640469,silver_sensor,11.066855,2026-07-21T13:30:41.891384+00:00,2026-07-21T13:30:52.958239+00:00
V1_rep3,dag_silver_transform,perf_V1_rep3_dag_silver_transform_1784640469,silver_gps,10.851733,2026-07-21T13:30:53.285987+00:00,2026-07-21T13:31:04.137720+00:00
V1_rep3,dag_silver_transform,perf_V1_rep3_dag_silver_transform_1784640469,silver_material,10.604261,2026-07-21T13:29:45.071470+00:00,2026-07-21T13:29:55.675731+00:00
V1_rep3,dag_gold_refresh,perf_V1_rep3_dag_gold_refresh_1784640671,gold_coc,13.668269,2026-07-21T13:32:15.819901+00:00,2026-07-21T13:32:29.488170+00:00
V1_rep3,dag_gold_refresh,perf_V1_rep3_dag_gold_refresh_1784640671,gold_pitcic,13.072456,2026-07-21T13:32:30.040938+00:00,2026-07-21T13:32:43.113394+00:00
V1_rep3,dag_gold_refresh,perf_V1_rep3_dag_gold_refresh_1784640671,gold_avaliacao,12.675695,2026-07-21T13:33:00.386426+00:00,2026-07-21T13:33:13.062121+00:00
V1_rep3,dag_gold_refresh,perf_V1_rep3_dag_gold_refresh_1784640671,gold_ppcot,15.60336,2026-07-21T13:32:43.674532+00:00,2026-07-21T13:32:59.277892+00:00
V2_rep1,dag_ingestao_bronze,perf_V2_rep1_dag_ingestao_bronze_1784640887,ingerir_json_para_iceberg_bronze,5.07915,2026-07-21T13:35:11.098157+00:00,2026-07-21T13:35:16.177307+00:00
V2_rep1,dag_ingestao_bronze,perf_V2_rep1_dag_ingestao_bronze_1784640887,verificar_bucket_landing,0.470295,2026-07-21T13:35:10.027537+00:00,2026-07-21T13:35:10.497832+00:00
V2_rep1,dag_silver_transform,perf_V2_rep1_dag_silver_transform_1784640923,silver_sensor,10.991167,2026-07-21T13:38:16.800060+00:00,2026-07-21T13:38:27.791227+00:00
V2_rep1,dag_silver_transform,perf_V2_rep1_dag_silver_transform_1784640923,silver_gps,11.500947,2026-07-21T13:38:28.915363+00:00,2026-07-21T13:38:40.416310+00:00
V2_rep1,dag_silver_transform,perf_V2_rep1_dag_silver_transform_1784640923,silver_obstaculo,11.109965,2026-07-21T13:37:41.424230+00:00,2026-07-21T13:37:52.534195+00:00
V2_rep1,dag_silver_transform,perf_V2_rep1_dag_silver_transform_1784640923,silver_paf,11.021575,2026-07-21T13:37:53.609072+00:00,2026-07-21T13:38:04.630647+00:00
V2_rep1,dag_silver_transform,perf_V2_rep1_dag_silver_transform_1784640923,silver_pessoal,10.49391,2026-07-21T13:37:08.286389+00:00,2026-07-21T13:37:18.780299+00:00
V2_rep1,dag_silver_transform,perf_V2_rep1_dag_silver_transform_1784640923,silver_relt_intel,11.113275,2026-07-21T13:38:05.436426+00:00,2026-07-21T13:38:16.549701+00:00
V2_rep1,dag_silver_transform,perf_V2_rep1_dag_silver_transform_1784640923,silver_material,10.481147,2026-07-21T13:37:19.299989+00:00,2026-07-21T13:37:29.781136+00:00
V2_rep1,dag_silver_transform,perf_V2_rep1_dag_silver_transform_1784640923,silver_seg_area,10.541928,2026-07-21T13:37:30.516684+00:00,2026-07-21T13:37:41.058612+00:00
V2_rep1,dag_gold_refresh,perf_V2_rep1_dag_gold_refresh_1784641125,gold_pitcic,13.665868,2026-07-21T13:40:02.277933+00:00,2026-07-21T13:40:15.943801+00:00
V2_rep1,dag_gold_refresh,perf_V2_rep1_dag_gold_refresh_1784641125,gold_coc,13.636368,2026-07-21T13:39:47.610160+00:00,2026-07-21T13:40:01.246528+00:00
V2_rep1,dag_gold_refresh,perf_V2_rep1_dag_gold_refresh_1784641125,gold_ppcot,15.561326,2026-07-21T13:40:17.039229+00:00,2026-07-21T13:40:32.600555+00:00
V2_rep1,dag_gold_refresh,perf_V2_rep1_dag_gold_refresh_1784641125,gold_avaliacao,12.707407,2026-07-21T13:40:33.043267+00:00,2026-07-21T13:40:45.750674+00:00
V2_rep2,dag_ingestao_bronze,perf_V2_rep2_dag_ingestao_bronze_1784641342,ingerir_json_para_iceberg_bronze,5.063706,2026-07-21T13:42:45.728358+00:00,2026-07-21T13:42:50.792064+00:00
V2_rep2,dag_ingestao_bronze,perf_V2_rep2_dag_ingestao_bronze_1784641342,verificar_bucket_landing,0.38396,2026-07-21T13:42:44.572136+00:00,2026-07-21T13:42:44.956096+00:00
V2_rep2,dag_silver_transform,perf_V2_rep2_dag_silver_transform_1784641378,silver_material,18.356224,2026-07-21T13:45:07.027572+00:00,2026-07-21T13:45:25.383796+00:00
V2_rep2,dag_silver_transform,perf_V2_rep2_dag_silver_transform_1784641378,silver_seg_area,14.556774,2026-07-21T13:45:27.264584+00:00,2026-07-21T13:45:41.821358+00:00
V2_rep2,dag_silver_transform,perf_V2_rep2_dag_silver_transform_1784641378,silver_pessoal,11.126825,2026-07-21T13:44:46.754906+00:00,2026-07-21T13:44:57.881731+00:00
V2_rep2,dag_silver_transform,perf_V2_rep2_dag_silver_transform_1784641378,silver_obstaculo,10.659861,2026-07-21T13:45:42.370477+00:00,2026-07-21T13:45:53.030338+00:00
V2_rep2,dag_silver_transform,perf_V2_rep2_dag_silver_transform_1784641378,silver_paf,11.168962,2026-07-21T13:45:53.571316+00:00,2026-07-21T13:46:04.740278+00:00
V2_rep2,dag_silver_transform,perf_V2_rep2_dag_silver_transform_1784641378,silver_relt_intel,11.16364,2026-07-21T13:46:05.387811+00:00,2026-07-21T13:46:16.551451+00:00
V2_rep2,dag_silver_transform,perf_V2_rep2_dag_silver_transform_1784641378,silver_sensor,11.102167,2026-07-21T13:46:17.675436+00:00,2026-07-21T13:46:28.777603+00:00
V2_rep2,dag_silver_transform,perf_V2_rep2_dag_silver_transform_1784641378,silver_gps,11.109207,2026-07-21T13:46:29.891625+00:00,2026-07-21T13:46:41.000832+00:00
V2_rep2,dag_gold_refresh,perf_V2_rep2_dag_gold_refresh_1784641607,gold_coc,13.090382,2026-07-21T13:47:46.891154+00:00,2026-07-21T13:47:59.981536+00:00
V2_rep2,dag_gold_refresh,perf_V2_rep2_dag_gold_refresh_1784641607,gold_ppcot,14.618978,2026-07-21T13:48:14.806015+00:00,2026-07-21T13:48:29.424993+00:00
V2_rep2,dag_gold_refresh,perf_V2_rep2_dag_gold_refresh_1784641607,gold_pitcic,12.548773,2026-07-21T13:48:00.702063+00:00,2026-07-21T13:48:13.250836+00:00
V2_rep2,dag_gold_refresh,perf_V2_rep2_dag_gold_refresh_1784641607,gold_avaliacao,12.601411,2026-07-21T13:48:30.997933+00:00,2026-07-21T13:48:43.599344+00:00
V2_rep3,dag_ingestao_bronze,perf_V2_rep3_dag_ingestao_bronze_1784641816,ingerir_json_para_iceberg_bronze,4.999263,2026-07-21T13:50:39.030639+00:00,2026-07-21T13:50:44.029902+00:00
V2_rep3,dag_ingestao_bronze,perf_V2_rep3_dag_ingestao_bronze_1784641816,verificar_bucket_landing,0.473495,2026-07-21T13:50:38.219677+00:00,2026-07-21T13:50:38.693172+00:00
V2_rep3,dag_silver_transform,perf_V2_rep3_dag_silver_transform_1784641852,silver_obstaculo,11.103601,2026-07-21T13:53:13.620571+00:00,2026-07-21T13:53:24.724172+00:00
V2_rep3,dag_silver_transform,perf_V2_rep3_dag_silver_transform_1784641852,silver_paf,11.104557,2026-07-21T13:53:25.482467+00:00,2026-07-21T13:53:36.587024+00:00
V2_rep3,dag_silver_transform,perf_V2_rep3_dag_silver_transform_1784641852,silver_pessoal,11.026383,2026-07-21T13:52:37.209381+00:00,2026-07-21T13:52:48.235764+00:00
V2_rep3,dag_silver_transform,perf_V2_rep3_dag_silver_transform_1784641852,silver_relt_intel,10.994057,2026-07-21T13:53:37.672248+00:00,2026-07-21T13:53:48.666305+00:00
V2_rep3,dag_silver_transform,perf_V2_rep3_dag_silver_transform_1784641852,silver_sensor,10.667714,2026-07-21T13:53:49.852626+00:00,2026-07-21T13:54:00.520340+00:00
V2_rep3,dag_silver_transform,perf_V2_rep3_dag_silver_transform_1784641852,silver_gps,11.675353,2026-07-21T13:54:00.843154+00:00,2026-07-21T13:54:12.518507+00:00
V2_rep3,dag_silver_transform,perf_V2_rep3_dag_silver_transform_1784641852,silver_material,11.110024,2026-07-21T13:52:49.305487+00:00,2026-07-21T13:53:00.415511+00:00
V2_rep3,dag_silver_transform,perf_V2_rep3_dag_silver_transform_1784641852,silver_seg_area,11.178337,2026-07-21T13:53:01.412142+00:00,2026-07-21T13:53:12.590479+00:00
V2_rep3,dag_gold_refresh,perf_V2_rep3_dag_gold_refresh_1784642061,gold_coc,14.095938,2026-07-21T13:55:23.669258+00:00,2026-07-21T13:55:37.765196+00:00
V2_rep3,dag_gold_refresh,perf_V2_rep3_dag_gold_refresh_1784642061,gold_pitcic,13.627219,2026-07-21T13:55:39.000620+00:00,2026-07-21T13:55:52.627839+00:00
V2_rep3,dag_gold_refresh,perf_V2_rep3_dag_gold_refresh_1784642061,gold_ppcot,16.211476,2026-07-21T13:55:53.837434+00:00,2026-07-21T13:56:10.048910+00:00
V2_rep3,dag_gold_refresh,perf_V2_rep3_dag_gold_refresh_1784642061,gold_avaliacao,13.057694,2026-07-21T13:56:10.669433+00:00,2026-07-21T13:56:23.727127+00:00
V3_rep1,dag_ingestao_bronze,perf_V3_rep1_dag_ingestao_bronze_1784642296,ingerir_json_para_iceberg_bronze,4.998725,2026-07-21T13:59:17.188322+00:00,2026-07-21T13:59:22.187047+00:00
V3_rep1,dag_ingestao_bronze,perf_V3_rep1_dag_ingestao_bronze_1784642296,verificar_bucket_landing,0.347971,2026-07-21T13:59:16.345604+00:00,2026-07-21T13:59:16.693575+00:00
V3_rep1,dag_silver_transform,perf_V3_rep1_dag_silver_transform_1784642366,silver_material,12.516553,2026-07-21T14:01:45.697207+00:00,2026-07-21T14:01:58.213760+00:00
V3_rep1,dag_silver_transform,perf_V3_rep1_dag_silver_transform_1784642366,silver_seg_area,14.150559,2026-07-21T14:01:58.773481+00:00,2026-07-21T14:02:12.924040+00:00
V3_rep1,dag_silver_transform,perf_V3_rep1_dag_silver_transform_1784642366,silver_pessoal,13.137367,2026-07-21T14:01:32.312717+00:00,2026-07-21T14:01:45.450084+00:00
V3_rep1,dag_silver_transform,perf_V3_rep1_dag_silver_transform_1784642366,silver_obstaculo,13.472474,2026-07-21T14:02:13.553875+00:00,2026-07-21T14:02:27.026349+00:00
V3_rep1,dag_silver_transform,perf_V3_rep1_dag_silver_transform_1784642366,silver_paf,13.187117,2026-07-21T14:02:28.200293+00:00,2026-07-21T14:02:41.387410+00:00
V3_rep1,dag_silver_transform,perf_V3_rep1_dag_silver_transform_1784642366,silver_relt_intel,13.196824,2026-07-21T14:02:42.309397+00:00,2026-07-21T14:02:55.506221+00:00
V3_rep1,dag_silver_transform,perf_V3_rep1_dag_silver_transform_1784642366,silver_sensor,12.62276,2026-07-21T14:02:56.384232+00:00,2026-07-21T14:03:09.006992+00:00
V3_rep1,dag_silver_transform,perf_V3_rep1_dag_silver_transform_1784642366,silver_gps,15.62986,2026-07-21T14:03:09.485709+00:00,2026-07-21T14:03:25.115569+00:00
V3_rep1,dag_gold_refresh,perf_V3_rep1_dag_gold_refresh_1784642607,gold_coc,14.149436,2026-07-21T14:04:30.208064+00:00,2026-07-21T14:04:44.357500+00:00
V3_rep1,dag_gold_refresh,perf_V3_rep1_dag_gold_refresh_1784642607,gold_ppcot,15.61576,2026-07-21T14:05:00.597371+00:00,2026-07-21T14:05:16.213131+00:00
V3_rep1,dag_gold_refresh,perf_V3_rep1_dag_gold_refresh_1784642607,gold_pitcic,13.198917,2026-07-21T14:04:46.484337+00:00,2026-07-21T14:04:59.683254+00:00
V3_rep1,dag_gold_refresh,perf_V3_rep1_dag_gold_refresh_1784642607,gold_avaliacao,12.588759,2026-07-21T14:05:16.749045+00:00,2026-07-21T14:05:29.337804+00:00
V3_rep2,dag_ingestao_bronze,perf_V3_rep2_dag_ingestao_bronze_1784642838,ingerir_json_para_iceberg_bronze,4.991647,2026-07-21T14:08:18.240550+00:00,2026-07-21T14:08:23.232197+00:00
V3_rep2,dag_ingestao_bronze,perf_V3_rep2_dag_ingestao_bronze_1784642838,verificar_bucket_landing,0.463561,2026-07-21T14:08:17.204681+00:00,2026-07-21T14:08:17.668242+00:00
V3_rep2,dag_silver_transform,perf_V3_rep2_dag_silver_transform_1784642908,silver_material,12.443546,2026-07-21T14:10:45.435865+00:00,2026-07-21T14:10:57.879411+00:00
V3_rep2,dag_silver_transform,perf_V3_rep2_dag_silver_transform_1784642908,silver_seg_area,13.564859,2026-07-21T14:10:58.540617+00:00,2026-07-21T14:11:12.105476+00:00
V3_rep2,dag_silver_transform,perf_V3_rep2_dag_silver_transform_1784642908,silver_pessoal,13.040418,2026-07-21T14:10:31.426214+00:00,2026-07-21T14:10:44.466632+00:00
V3_rep2,dag_silver_transform,perf_V3_rep2_dag_silver_transform_1784642908,silver_obstaculo,13.003542,2026-07-21T14:11:12.609612+00:00,2026-07-21T14:11:25.613154+00:00
V3_rep2,dag_silver_transform,perf_V3_rep2_dag_silver_transform_1784642908,silver_paf,12.965628,2026-07-21T14:11:25.800208+00:00,2026-07-21T14:11:38.765836+00:00
V3_rep2,dag_silver_transform,perf_V3_rep2_dag_silver_transform_1784642908,silver_relt_intel,13.012406,2026-07-21T14:11:39.987411+00:00,2026-07-21T14:11:52.999817+00:00
V3_rep2,dag_silver_transform,perf_V3_rep2_dag_silver_transform_1784642908,silver_sensor,12.463,2026-07-21T14:11:54.088114+00:00,2026-07-21T14:12:06.551114+00:00
V3_rep2,dag_silver_transform,perf_V3_rep2_dag_silver_transform_1784642908,silver_gps,15.543547,2026-07-21T14:12:07.645924+00:00,2026-07-21T14:12:23.189471+00:00
V3_rep2,dag_gold_refresh,perf_V3_rep2_dag_gold_refresh_1784643149,gold_coc,14.190946,2026-07-21T14:13:30.885808+00:00,2026-07-21T14:13:45.076754+00:00
V3_rep2,dag_gold_refresh,perf_V3_rep2_dag_gold_refresh_1784643149,gold_ppcot,15.069187,2026-07-21T14:13:59.032012+00:00,2026-07-21T14:14:14.101199+00:00
V3_rep2,dag_gold_refresh,perf_V3_rep2_dag_gold_refresh_1784643149,gold_pitcic,12.476452,2026-07-21T14:13:46.015226+00:00,2026-07-21T14:13:58.491678+00:00
V3_rep2,dag_gold_refresh,perf_V3_rep2_dag_gold_refresh_1784643149,gold_avaliacao,13.143799,2026-07-21T14:14:15.247808+00:00,2026-07-21T14:14:28.391607+00:00
V3_rep3,dag_ingestao_bronze,perf_V3_rep3_dag_ingestao_bronze_1784643400,ingerir_json_para_iceberg_bronze,4.930926,2026-07-21T14:17:40.371991+00:00,2026-07-21T14:17:45.302917+00:00
V3_rep3,dag_ingestao_bronze,perf_V3_rep3_dag_ingestao_bronze_1784643400,verificar_bucket_landing,0.370099,2026-07-21T14:17:39.338722+00:00,2026-07-21T14:17:39.708821+00:00
V3_rep3,dag_silver_transform,perf_V3_rep3_dag_silver_transform_1784643469,silver_paf,13.07395,2026-07-21T14:20:50.005717+00:00,2026-07-21T14:21:03.079667+00:00
V3_rep3,dag_silver_transform,perf_V3_rep3_dag_silver_transform_1784643469,silver_relt_intel,13.074967,2026-07-21T14:21:04.164103+00:00,2026-07-21T14:21:17.239070+00:00
V3_rep3,dag_silver_transform,perf_V3_rep3_dag_silver_transform_1784643469,silver_pessoal,13.029649,2026-07-21T14:19:56.122157+00:00,2026-07-21T14:20:09.151806+00:00
V3_rep3,dag_silver_transform,perf_V3_rep3_dag_silver_transform_1784643469,silver_sensor,12.510525,2026-07-21T14:21:18.228425+00:00,2026-07-21T14:21:30.738950+00:00
V3_rep3,dag_silver_transform,perf_V3_rep3_dag_silver_transform_1784643469,silver_gps,15.538662,2026-07-21T14:21:31.492000+00:00,2026-07-21T14:21:47.030662+00:00
V3_rep3,dag_silver_transform,perf_V3_rep3_dag_silver_transform_1784643469,silver_material,12.550107,2026-07-21T14:20:09.623496+00:00,2026-07-21T14:20:22.173603+00:00
V3_rep3,dag_silver_transform,perf_V3_rep3_dag_silver_transform_1784643469,silver_seg_area,13.132301,2026-07-21T14:20:22.669630+00:00,2026-07-21T14:20:35.801931+00:00
V3_rep3,dag_silver_transform,perf_V3_rep3_dag_silver_transform_1784643469,silver_obstaculo,13.192848,2026-07-21T14:20:36.308047+00:00,2026-07-21T14:20:49.500895+00:00
V3_rep3,dag_gold_refresh,perf_V3_rep3_dag_gold_refresh_1784643710,gold_ppcot,15.062658,2026-07-21T14:23:16.912616+00:00,2026-07-21T14:23:31.975274+00:00
V3_rep3,dag_gold_refresh,perf_V3_rep3_dag_gold_refresh_1784643710,gold_coc,13.590416,2026-07-21T14:22:49.110327+00:00,2026-07-21T14:23:02.700743+00:00
V3_rep3,dag_gold_refresh,perf_V3_rep3_dag_gold_refresh_1784643710,gold_pitcic,13.020248,2026-07-21T14:23:03.382933+00:00,2026-07-21T14:23:16.403181+00:00
