tag,dag,segundos,run_id,timestamp_utc,lotes,registros,volume_total
C1_rep1,dag_ingestao_bronze,67.106,perf_C1_rep1_dag_ingestao_bronze_1784676735,2026-07-21T23:33:24Z,200,500,800000
C1_rep1,dag_silver_transform,245.825,perf_C1_rep1_dag_silver_transform_1784676804,2026-07-21T23:37:31Z,200,500,800000
C1_rep1,dag_gold_refresh,123.805,perf_C1_rep1_dag_gold_refresh_1784677051,2026-07-21T23:39:37Z,200,500,800000
C1_rep2,dag_ingestao_bronze,67.116,perf_C1_rep2_dag_ingestao_bronze_1784677293,2026-07-21T23:42:42Z,200,500,800000
C1_rep2,dag_silver_transform,245.737,perf_C1_rep2_dag_silver_transform_1784677363,2026-07-21T23:46:50Z,200,500,800000
C1_rep2,dag_gold_refresh,123.982,perf_C1_rep2_dag_gold_refresh_1784677611,2026-07-21T23:48:57Z,200,500,800000
C1_rep3,dag_ingestao_bronze,67.011,perf_C1_rep3_dag_ingestao_bronze_1784677864,2026-07-21T23:52:13Z,200,500,800000
C1_rep3,dag_silver_transform,252.710,perf_C1_rep3_dag_silver_transform_1784677933,2026-07-21T23:56:28Z,200,500,800000
C1_rep3,dag_gold_refresh,123.149,perf_C1_rep3_dag_gold_refresh_1784678188,2026-07-21T23:58:33Z,200,500,800000
C1_rep4,dag_ingestao_bronze,67.242,perf_C1_rep4_dag_ingestao_bronze_1784678420,2026-07-22T00:01:29Z,200,500,800000
C1_rep4,dag_silver_transform,239.234,perf_C1_rep4_dag_silver_transform_1784678489,2026-07-22T00:05:30Z,200,500,800000
C1_rep4,dag_gold_refresh,123.350,perf_C1_rep4_dag_gold_refresh_1784678731,2026-07-22T00:07:36Z,200,500,800000
C1_rep5,dag_ingestao_bronze,66.943,perf_C1_rep5_dag_ingestao_bronze_1784678972,2026-07-22T00:10:41Z,200,500,800000
C1_rep5,dag_silver_transform,246.096,perf_C1_rep5_dag_silver_transform_1784679041,2026-07-22T00:14:49Z,200,500,800000
C1_rep5,dag_gold_refresh,123.168,perf_C1_rep5_dag_gold_refresh_1784679289,2026-07-22T00:16:54Z,200,500,800000
C1_rep6,dag_ingestao_bronze,67.119,perf_C1_rep6_dag_ingestao_bronze_1784679525,2026-07-22T00:19:54Z,200,500,800000
C1_rep6,dag_silver_transform,245.612,perf_C1_rep6_dag_silver_transform_1784679594,2026-07-22T00:24:01Z,200,500,800000
C1_rep6,dag_gold_refresh,123.319,perf_C1_rep6_dag_gold_refresh_1784679841,2026-07-22T00:26:07Z,200,500,800000
C1_rep7,dag_ingestao_bronze,67.081,perf_C1_rep7_dag_ingestao_bronze_1784680072,2026-07-22T00:29:00Z,200,500,800000
C1_rep7,dag_silver_transform,245.592,perf_C1_rep7_dag_silver_transform_1784680141,2026-07-22T00:33:08Z,200,500,800000
C1_rep7,dag_gold_refresh,123.681,perf_C1_rep7_dag_gold_refresh_1784680389,2026-07-22T00:35:14Z,200,500,800000
C1_rep8,dag_ingestao_bronze,67.046,perf_C1_rep8_dag_ingestao_bronze_1784680623,2026-07-22T00:38:11Z,200,500,800000
C1_rep8,dag_silver_transform,245.015,perf_C1_rep8_dag_silver_transform_1784680692,2026-07-22T00:42:19Z,200,500,800000
C1_rep8,dag_gold_refresh,162.970,perf_C1_rep8_dag_gold_refresh_1784680939,2026-07-22T00:45:03Z,200,500,800000
C1_rep9,dag_ingestao_bronze,67.010,perf_C1_rep9_dag_ingestao_bronze_1784681221,2026-07-22T00:48:10Z,200,500,800000
C1_rep9,dag_silver_transform,245.659,perf_C1_rep9_dag_silver_transform_1784681290,2026-07-22T00:52:18Z,200,500,800000
C1_rep9,dag_gold_refresh,123.414,perf_C1_rep9_dag_gold_refresh_1784681538,2026-07-22T00:54:23Z,200,500,800000
C1_rep10,dag_ingestao_bronze,67.091,perf_C1_rep10_dag_ingestao_bronze_1784681764,2026-07-22T00:57:13Z,200,500,800000
C1_rep10,dag_silver_transform,245.863,perf_C1_rep10_dag_silver_transform_1784681834,2026-07-22T01:01:21Z,200,500,800000
C1_rep10,dag_gold_refresh,123.419,perf_C1_rep10_dag_gold_refresh_1784682082,2026-07-22T01:03:27Z,200,500,800000
C1_rep11,dag_ingestao_bronze,67.003,perf_C1_rep11_dag_ingestao_bronze_1784682321,2026-07-22T01:06:30Z,200,500,800000
C1_rep11,dag_silver_transform,244.987,perf_C1_rep11_dag_silver_transform_1784682391,2026-07-22T01:10:37Z,200,500,800000
C1_rep11,dag_gold_refresh,130.141,perf_C1_rep11_dag_gold_refresh_1784682638,2026-07-22T01:12:50Z,200,500,800000
C1_rep12,dag_ingestao_bronze,67.231,perf_C1_rep12_dag_ingestao_bronze_1784682894,2026-07-22T01:16:03Z,200,500,800000
C1_rep12,dag_silver_transform,239.642,perf_C1_rep12_dag_silver_transform_1784682964,2026-07-22T01:20:05Z,200,500,800000
C1_rep12,dag_gold_refresh,123.626,perf_C1_rep12_dag_gold_refresh_1784683206,2026-07-22T01:22:11Z,200,500,800000
C2_rep1,dag_ingestao_bronze,67.090,perf_C2_rep1_dag_ingestao_bronze_1784683438,2026-07-22T01:25:07Z,200,500,800000
C2_rep1,dag_silver_transform,226.118,perf_C2_rep1_dag_silver_transform_1784683508,2026-07-22T01:28:56Z,200,500,800000
C2_rep1,dag_gold_refresh,130.370,perf_C2_rep1_dag_gold_refresh_1784683736,2026-07-22T01:31:08Z,200,500,800000
C2_rep2,dag_ingestao_bronze,67.036,perf_C2_rep2_dag_ingestao_bronze_1784683982,2026-07-22T01:34:10Z,200,500,800000
C2_rep2,dag_silver_transform,226.193,perf_C2_rep2_dag_silver_transform_1784684051,2026-07-22T01:37:59Z,200,500,800000
C2_rep2,dag_gold_refresh,122.712,perf_C2_rep2_dag_gold_refresh_1784684279,2026-07-22T01:40:04Z,200,500,800000
C2_rep3,dag_ingestao_bronze,67.357,perf_C2_rep3_dag_ingestao_bronze_1784684519,2026-07-22T01:43:08Z,200,500,800000
C2_rep3,dag_silver_transform,225.649,perf_C2_rep3_dag_silver_transform_1784684588,2026-07-22T01:46:55Z,200,500,800000
C2_rep3,dag_gold_refresh,123.315,perf_C2_rep3_dag_gold_refresh_1784684816,2026-07-22T01:49:01Z,200,500,800000
C2_rep4,dag_ingestao_bronze,66.995,perf_C2_rep4_dag_ingestao_bronze_1784685055,2026-07-22T01:52:04Z,200,500,800000
C2_rep4,dag_silver_transform,226.293,perf_C2_rep4_dag_silver_transform_1784685124,2026-07-22T01:55:52Z,200,500,800000
C2_rep4,dag_gold_refresh,123.295,perf_C2_rep4_dag_gold_refresh_1784685352,2026-07-22T01:57:58Z,200,500,800000
C2_rep5,dag_ingestao_bronze,67.134,perf_C2_rep5_dag_ingestao_bronze_1784685590,2026-07-22T02:00:59Z,200,500,800000
C2_rep5,dag_silver_transform,224.856,perf_C2_rep5_dag_silver_transform_1784685660,2026-07-22T02:04:46Z,200,500,800000
C2_rep5,dag_gold_refresh,123.212,perf_C2_rep5_dag_gold_refresh_1784685887,2026-07-22T02:06:51Z,200,500,800000
C2_rep6,dag_ingestao_bronze,67.282,perf_C2_rep6_dag_ingestao_bronze_1784686142,2026-07-22T02:10:11Z,200,500,800000
C2_rep6,dag_silver_transform,225.529,perf_C2_rep6_dag_silver_transform_1784686211,2026-07-22T02:13:59Z,200,500,800000
C2_rep6,dag_gold_refresh,122.806,perf_C2_rep6_dag_gold_refresh_1784686439,2026-07-22T02:16:04Z,200,500,800000
C2_rep7,dag_ingestao_bronze,67.066,perf_C2_rep7_dag_ingestao_bronze_1784686699,2026-07-22T02:19:28Z,200,500,800000
C2_rep7,dag_silver_transform,226.035,perf_C2_rep7_dag_silver_transform_1784686768,2026-07-22T02:23:16Z,200,500,800000
C2_rep7,dag_gold_refresh,130.090,perf_C2_rep7_dag_gold_refresh_1784686996,2026-07-22T02:25:28Z,200,500,800000
C2_rep8,dag_ingestao_bronze,67.183,perf_C2_rep8_dag_ingestao_bronze_1784687238,2026-07-22T02:28:27Z,200,500,800000
C2_rep8,dag_silver_transform,232.507,perf_C2_rep8_dag_silver_transform_1784687307,2026-07-22T02:32:21Z,200,500,800000
C2_rep8,dag_gold_refresh,122.999,perf_C2_rep8_dag_gold_refresh_1784687541,2026-07-22T02:34:26Z,200,500,800000
C2_rep9,dag_ingestao_bronze,67.018,perf_C2_rep9_dag_ingestao_bronze_1784687777,2026-07-22T02:37:26Z,200,500,800000
C2_rep9,dag_silver_transform,226.192,perf_C2_rep9_dag_silver_transform_1784687847,2026-07-22T02:41:15Z,200,500,800000
C2_rep9,dag_gold_refresh,123.607,perf_C2_rep9_dag_gold_refresh_1784688075,2026-07-22T02:43:20Z,200,500,800000
C2_rep10,dag_ingestao_bronze,67.174,perf_C2_rep10_dag_ingestao_bronze_1784688315,2026-07-22T02:46:24Z,200,500,800000
C2_rep10,dag_silver_transform,226.242,perf_C2_rep10_dag_silver_transform_1784688384,2026-07-22T02:50:12Z,200,500,800000
C2_rep10,dag_gold_refresh,139.686,perf_C2_rep10_dag_gold_refresh_1784688612,2026-07-22T02:52:34Z,200,500,800000
C2_rep11,dag_ingestao_bronze,66.949,perf_C2_rep11_dag_ingestao_bronze_1784688871,2026-07-22T02:55:40Z,200,500,800000
C2_rep11,dag_silver_transform,219.489,perf_C2_rep11_dag_silver_transform_1784688941,2026-07-22T02:59:22Z,200,500,800000
C2_rep11,dag_gold_refresh,123.113,perf_C2_rep11_dag_gold_refresh_1784689162,2026-07-22T03:01:27Z,200,500,800000
C2_rep12,dag_ingestao_bronze,67.200,perf_C2_rep12_dag_ingestao_bronze_1784689402,2026-07-22T03:04:31Z,200,500,800000
C2_rep12,dag_silver_transform,232.243,perf_C2_rep12_dag_silver_transform_1784689471,2026-07-22T03:08:25Z,200,500,800000
C2_rep12,dag_gold_refresh,123.485,perf_C2_rep12_dag_gold_refresh_1784689706,2026-07-22T03:10:31Z,200,500,800000
C4_rep1,dag_ingestao_bronze,67.256,perf_C4_rep1_dag_ingestao_bronze_1784689938,2026-07-22T03:13:27Z,200,500,800000
C4_rep1,dag_silver_transform,206.507,perf_C4_rep1_dag_silver_transform_1784690007,2026-07-22T03:16:56Z,200,500,800000
C4_rep1,dag_gold_refresh,123.369,perf_C4_rep1_dag_gold_refresh_1784690216,2026-07-22T03:19:01Z,200,500,800000
C4_rep2,dag_ingestao_bronze,67.462,perf_C4_rep2_dag_ingestao_bronze_1784690451,2026-07-22T03:22:00Z,200,500,800000
C4_rep2,dag_silver_transform,213.339,perf_C4_rep2_dag_silver_transform_1784690521,2026-07-22T03:25:36Z,200,500,800000
C4_rep2,dag_gold_refresh,123.630,perf_C4_rep2_dag_gold_refresh_1784690736,2026-07-22T03:27:42Z,200,500,800000
C4_rep3,dag_ingestao_bronze,67.062,perf_C4_rep3_dag_ingestao_bronze_1784690979,2026-07-22T03:30:48Z,200,500,800000
C4_rep3,dag_silver_transform,212.864,perf_C4_rep3_dag_silver_transform_1784691048,2026-07-22T03:34:22Z,200,500,800000
C4_rep3,dag_gold_refresh,129.857,perf_C4_rep3_dag_gold_refresh_1784691262,2026-07-22T03:36:34Z,200,500,800000
C4_rep4,dag_ingestao_bronze,67.063,perf_C4_rep4_dag_ingestao_bronze_1784691504,2026-07-22T03:39:33Z,200,500,800000
C4_rep4,dag_silver_transform,213.508,perf_C4_rep4_dag_silver_transform_1784691573,2026-07-22T03:43:08Z,200,500,800000
C4_rep4,dag_gold_refresh,123.116,perf_C4_rep4_dag_gold_refresh_1784691788,2026-07-22T03:45:13Z,200,500,800000
C4_rep5,dag_ingestao_bronze,66.994,perf_C4_rep5_dag_ingestao_bronze_1784692022,2026-07-22T03:48:11Z,200,500,800000
C4_rep5,dag_silver_transform,212.830,perf_C4_rep5_dag_silver_transform_1784692092,2026-07-22T03:51:46Z,200,500,800000
C4_rep5,dag_gold_refresh,130.080,perf_C4_rep5_dag_gold_refresh_1784692307,2026-07-22T03:53:59Z,200,500,800000
C4_rep6,dag_ingestao_bronze,67.222,perf_C4_rep6_dag_ingestao_bronze_1784692558,2026-07-22T03:57:07Z,200,500,800000
C4_rep6,dag_silver_transform,213.340,perf_C4_rep6_dag_silver_transform_1784692628,2026-07-22T04:00:43Z,200,500,800000
C4_rep6,dag_gold_refresh,123.700,perf_C4_rep6_dag_gold_refresh_1784692843,2026-07-22T04:02:49Z,200,500,800000
C4_rep7,dag_ingestao_bronze,66.952,perf_C4_rep7_dag_ingestao_bronze_1784693080,2026-07-22T04:05:49Z,200,500,800000
C4_rep7,dag_silver_transform,219.659,perf_C4_rep7_dag_silver_transform_1784693149,2026-07-22T04:09:30Z,200,500,800000
C4_rep7,dag_gold_refresh,130.373,perf_C4_rep7_dag_gold_refresh_1784693371,2026-07-22T04:11:43Z,200,500,800000
C4_rep8,dag_ingestao_bronze,67.183,perf_C4_rep8_dag_ingestao_bronze_1784693611,2026-07-22T04:14:40Z,200,500,800000
C4_rep8,dag_silver_transform,213.073,perf_C4_rep8_dag_silver_transform_1784693680,2026-07-22T04:18:15Z,200,500,800000
C4_rep8,dag_gold_refresh,123.116,perf_C4_rep8_dag_gold_refresh_1784693895,2026-07-22T04:20:20Z,200,500,800000
C4_rep9,dag_ingestao_bronze,67.099,perf_C4_rep9_dag_ingestao_bronze_1784694134,2026-07-22T04:23:23Z,200,500,800000
C4_rep9,dag_silver_transform,213.176,perf_C4_rep9_dag_silver_transform_1784694203,2026-07-22T04:26:58Z,200,500,800000
C4_rep9,dag_gold_refresh,123.309,perf_C4_rep9_dag_gold_refresh_1784694419,2026-07-22T04:29:04Z,200,500,800000
C4_rep10,dag_ingestao_bronze,67.024,perf_C4_rep10_dag_ingestao_bronze_1784694651,2026-07-22T04:32:00Z,200,500,800000
C4_rep10,dag_silver_transform,213.047,perf_C4_rep10_dag_silver_transform_1784694721,2026-07-22T04:35:35Z,200,500,800000
C4_rep10,dag_gold_refresh,123.342,perf_C4_rep10_dag_gold_refresh_1784694936,2026-07-22T04:37:41Z,200,500,800000
C4_rep11,dag_ingestao_bronze,67.005,perf_C4_rep11_dag_ingestao_bronze_1784695178,2026-07-22T04:40:47Z,200,500,800000
C4_rep11,dag_silver_transform,213.173,perf_C4_rep11_dag_silver_transform_1784695248,2026-07-22T04:44:22Z,200,500,800000
C4_rep11,dag_gold_refresh,123.399,perf_C4_rep11_dag_gold_refresh_1784695463,2026-07-22T04:46:28Z,200,500,800000
C4_rep12,dag_ingestao_bronze,67.075,perf_C4_rep12_dag_ingestao_bronze_1784695710,2026-07-22T04:49:39Z,200,500,800000
C4_rep12,dag_silver_transform,213.237,perf_C4_rep12_dag_silver_transform_1784695779,2026-07-22T04:53:14Z,200,500,800000
C4_rep12,dag_gold_refresh,129.874,perf_C4_rep12_dag_gold_refresh_1784695994,2026-07-22T04:55:26Z,200,500,800000
